Ticker,close,ret_1w,ret_1m,ret_3m,ret_6m,vol_6m,ema_3,ema_5,ema_8,ema_15,ema_20,ema_21,signal_3_8,spread_3_8_pct,signal_5_15,spread_5_15_pct,signal_5_20,spread_5_20_pct,signal_8_21,spread_8_21_pct,bullish_count,bearish_count,neutral_count,bullish_ratio,bearish_ratio,neutral_ratio,ensemble_score,avg_ema_spread_pct,upside_strength_pct,downside_strength_pct,Signal
LUPIN.NS,2311.5,-0.0015550505396698666,0.005787159642049344,0.052643610940553476,0.19315539170093965,0.1690016042213027,2319.5420628352826,2320.6067283543034,2318.9758214354615,2314.608115849339,2311.180718439362,2310.3906135419375,1,0.024417736251791666,1,0.2591632019212531,1,0.40784391457309166,1,0.3715911864947685,4,0,0,1.0,0.0,0.0,1.0,0.26575400981022623,0.26575400981022623,0.0,Upside
M&M.NS,3247.300048828125,0.008415656812362782,0.037840823488193065,-0.11020686427507198,-0.061419734695903894,0.28591360907356117,3232.541171846091,3223.8749890754066,3206.441318370194,3178.067327288175,3175.452263617996,3176.253427400462,1,0.8139819471002507,1,1.441368513307073,1,1.5249079953807865,1,0.9504245067257999,4,0,0,1.0,0.0,0.0,1.0,1.1826707406284775,1.1826707406284775,0.0,Upside
MANAPPURAM.NS,281.79998779296875,0.05701418357639221,0.09713833447591491,-0.08802592947259302,-0.006872289716409741,0.3334763536377776,275.2661406927034,272.6139251283161,270.0533429299526,267.07618085608226,266.7758199487926,266.8363148803106,1,1.9302844786864615,1,2.0734699195125605,1,2.188393678499101,1,1.205618527255159,4,0,0,1.0,0.0,0.0,1.0,1.8494416509883205,1.8494416509883205,0.0,Upside
MANKIND.NS,2200.0,0.05901612757270813,0.06372693800713014,-0.019782526277959622,-0.09765804939674139,0.2673357996067499,2164.1443345418693,2143.3927229691453,2121.4080038666857,2096.8046299974153,2091.5706841677634,2091.126053302057,1,2.0145267010065027,1,2.2218614126098934,1,2.477661366821171,1,1.4481169376093561,4,0,0,1.0,0.0,0.0,1.0,2.0405416045117306,2.0405416045117306,0.0,Upside
MARICO.NS,762.5,0.01248177495524283,0.010268300761841598,0.016937866368704313,0.07667323789878733,0.1900842941907854,759.8018805175864,757.8940776642329,756.1044679363641,754.5833432733824,754.8375583031727,754.941026231953,1,0.48900816461427965,1,0.4387499963209418,1,0.40492412273853695,1,0.15411027669514077,4,0,0,1.0,0.0,0.0,1.0,0.3716981400922248,0.3716981400922248,0.0,Upside
MARUTI.NS,13461.0,0.02944325481798704,0.03769657724329334,-0.1666047548291233,-0.1721911321566939,0.2472219528111499,13439.224117245594,13407.326372672373,13343.268361491333,13246.51228128148,13258.435841909113,13267.020602610484,1,0.7191323231659608,1,1.2140108126282856,1,1.1229871497558275,1,0.5747165182350411,4,0,0,1.0,0.0,0.0,1.0,0.9077117009462787,0.9077117009462787,0.0,Upside
MFSL.NS,1648.800048828125,0.0014577407546605414,-0.0031438640700574005,-0.000181875674921117,0.023400204392110435,0.27178894213190474,1667.0033892328438,1665.292303017378,1652.612264060236,1634.8245319668058,1634.1062807578742,1634.5713865280445,1,0.8708107452410463,1,1.8636722446241594,1,1.9084451621494303,1,1.103706921635994,4,0,0,1.0,0.0,0.0,1.0,1.4366587684126575,1.4366587684126575,0.0,Upside
MAXHEALTH.NS,1020.25,0.07202898698508853,0.04490984731888936,-0.012916002571904062,-0.12160998708566506,0.2397703107311601,1011.4916507303051,1002.2464915577748,991.9044307951698,983.2620805671215,983.8665365773843,984.2800896855059,1,1.9747083818783873,1,1.9307579704185729,1,1.8681349854960505,1,0.7746109252397826,4,0,0,1.0,0.0,0.0,1.0,1.6370530657581983,1.6370530657581983,0.0,Upside
MAZDOCK.NS,2656.60009765625,0.06481229774412833,0.12458199273045367,0.0751983341008311,-0.051214250837053554,0.3921549965655558,2627.2385128879223,2596.000060965614,2550.818228486875,2478.7792430297513,2449.732136870599,2445.373834316596,1,2.9959125878749715,1,4.728973677889381,1,5.970772146617809,1,4.311994865183766,4,0,0,1.0,0.0,0.0,1.0,4.501913319391482,4.501913319391482,0.0,Upside
MPHASIS.NS,2419.0,0.044428089462920095,0.16628893658507593,-0.13260185146654735,-0.11885770009001384,0.28174498220079386,2422.1232177743696,2412.7411043913016,2388.10839610133,2335.0466353798074,2314.930182057263,2312.598381035822,1,1.424341613997493,1,3.3273197988551884,1,4.225221265511969,1,3.26515903862592,4,0,0,1.0,0.0,0.0,1.0,3.0605104292476426,3.0605104292476426,0.0,Upside
